A	'ə	ə
signat	s i n n 'a t	s i ə n 'a t
serens	s ə ɾ 'ə n s	s ə ɾ 'e n s
ser-ho	s 'e ɾ o	s 'e ɾ o
ser-hi	s 'e ɾ i	s 'e ɾ i
sequaços	s ə k w 'a s o s	s ə k 'a s o s
sentis	s 'e n t i s	s 'e n t i s
sentint-me	s ə n t 'i m m ə	s ə n t 'i n t m ə
senten	s 'e n t ə n	s 'e n t ə n
sempre	s 'e m p ɾ ə	s 'ə m p ɾ ə
seitons	s ə j t 'o n s	s ə i t 'o n s
sapiens	s ə p i 'ə n s	s ə p i 'e n s
salpebra	s ə l p 'e β ɾ ə	s ə l p 'ə β ɾ ə
rètols	r 'e t o l s	r 'ə t o l s
rètol	r 'e t o l	r 'ə t o l
rotonda	r o t 'o n d ə	r o t 'o n d ə
rosses	r 'o s ə s	r 'o s ə s
ronden	r 'o n d ə n	r 'o n d ə n
ronca	r 'o ŋ k ə	r 'o ŋ k ə
rodejant-ne	r o ð ə ʒ 'a n n ə	r o ð ə ʒ 'a n n n ə
resseguint	r ə s ə ɣ 'i n t	r ə s ə ɣ u 'i n t
respecto	r ə s p 'e t t o	r ə s p 'e t t o
resen	r 'e z ə n	r 'ə z ə n
res	r 'e s	r 'ə s
reproduint-la	r ə p ɾ o ð u 'i n l ə	r ə p ɾ o ð i i n l l ə
renoven	r ə n 'o v ə n	r ə n 'o v ə n
renecs	r ə n 'e t s	r ə n 'ə t s
rencontre	r ə ŋ k 'o n t ɾ ə	r ə ŋ k 'o n t ɾ ə
religioses	r ə l i ʒ i 'o z ə s	r ə l i ʒ i 'o s ə s
regne	r 'e n n ə	r 'ə n n ə
regla	r 'e g g l ə	r 'ə g g l ə
redimensioni	r ə ð i m ə n s i 'o n i	r ə ð i m ə n s i 'o n i
recorren	r ə k 'o r ə n	r ə k 'o r ə n
reconeixent-ne	r ə k o n ə ʃ 'e n n ə	r ə k o n ə ʃ 'e n n n ə
recolzo	r ə k 'o l z o	r ə k 'o l z o
recolza	r ə k 'o l z ə	r ə k 'o l z ə
rec	r 'e k	r 'e k
realitzo	r e ə l 'i d z o	r ə ə l 'i d z o
realisme	r e ə l 'i z m ə	r ə ə l 'i z m ə
reafirmin	r e ə f 'i ɾ m i n	r ə ə f 'i ɾ m i n
rails	r 'a j l s	r 'a i l s
quedes	k 'e ð ə s	k 'ə ð ə s
promocionin	p ɾ o m o s i 'o n i n	p ɾ o m o s i 'o n i n
preveuen	p ɾ ə v 'ə w ə n	p ɾ ə v 'e w ə n
pretendre	p ɾ ə t 'e n d ɾ ə	p ɾ ə t 'ə n d ɾ ə
preromàntics	p ɾ ə r o m 'a n t i t s	p ɾ ə ɾ o m 'a n t i t s
prengueren	p ɾ ə ŋ g 'e ɾ ə n	p ɾ ə ŋ g 'e ɾ ə n
prenent-se	p ɾ ə n 'e n s ə	p ɾ ə n 'e n s ə
premsa	p ɾ 'e n s ə	p ɾ 'ə m z ə
precursors	p ɾ ə k u ɾ s 'o s	p ɾ ə k u s 'o s
preciosos	p ɾ ə s i 'o z o s	p ɾ ə s i 'o s o s
precioses	p ɾ ə s i 'o z ə s	p ɾ ə s i 'o s ə s
posés	p o z 'e s	p o s 'e s
posicioni	p o z i s i 'o n i	p o z i s i 'o n i
posant-ne	p o z 'a n n ə	p o z 'a n n n ə
porta-me-les	p 'o ɾ t ə m ə l ə s	p o ɾ t ə m 'e l ə s
porro	p 'o r o	p 'o r o
popes	p 'o p ə s	p 'o p ə s
podent	p o ð 'e n t	p o ð 'e n t
plumero	p l u m 'e ɾ o	p l u m 'e ɾ o
plecs	p l 'e t s	p l 'ə t s
planctòniques	p l ə ŋ t t 'o n i k ə s	p l ə n s t 'o n i k ə s
pertenences	p ə ɾ t ə n 'e n s ə s	p ə ɾ t ə n 'ə n s ə s
perpetren	p ə ɾ p 'e t ɾ ə n	p ə ɾ p 'ə t ɾ ə n
permeables	p ə ɾ m e 'a b b l ə s	p ə ɾ ə e 'a b b l ə s
perdre-la	p 'e ɾ ð ɾ ə l ə	p ə ɾ ð ɾ 'e l ə
perdonant-li	p ə ɾ ð o n 'a n l i	p ə ɾ ð o n 'a n i l i
penetren	p ə n 'e t ɾ ə n	p ə n 'ə t ɾ ə n
patrimoni	p ə t ɾ i m 'o n i	p ə t ɾ i m 'o n i
orienten	o ɾ i 'e n t ə n	o ɾ i 'e n t ə n
operen	o p 'e ɾ ə n	o p 'e ɾ ə n
oncle	'o ŋ k l ə	'o ŋ k l ə
oloro	o l 'o ɾ o	o l 'o ɾ o
oasi	o 'a z i	o 'a s i
nedes	n 'e ð ə s	n 'ə ð ə s
neden	n 'e ð ə n	n 'ə ð ə n
neanderthalensis	n e ə n d ə ɾ t ə l 'e n s i s	n ə ə n d ə ɾ t 'a l 'ə n s i s
naips	n 'a j t s	n 'a i t s
mítings	m 'i t i ŋ s	m 'i t i n s
mosso	m 'o s o	m 'o s o
mosca	m 'o s k ə	m 'o s k ə
mosaic	m o z 'a j k	m o z 'a i k
morses	m 'o ɾ s ə s	m 'o ɾ s ə s
morros	m 'o r o s	m 'o r o s
molècules	m o l 'ə k u l ə s	m o l 'e k u l ə s
moc	m 'o k	m 'o k
migcampistes	m i k k ə m p 'i s t ə s	m i ŋ k ə m p 'i s t ə s
metros	m 'e t ɾ o s	m 'ə t ɾ o s
marihuana	m ə ɾ i u 'a n ə	m ə ɾ i ə 'a n ə
maltractaments	m ə l t ɾ ə t t ə m 'e n s	m ə l t ɾ ə t t ə m 'e n t s
ma	m 'ə	m ə
líder	l 'i ð ə	l 'i ð e 
lèxics	l 'e t s i t s	l 'ə t s i t s
lluirà	ʎ u i ɾ 'a	ʎ u j ɾ 'a
llesta	ʎ 'e s t ə	ʎ 'ə s t ə
llenya	ʎ 'e ɲ ə	ʎ 'ə ɲ ə
llengües	ʎ 'e ŋ g w ə s	ʎ 'ə ŋ g w ə s
llenci	ʎ 'e n s i	ʎ 'ə n s i
llambordes	ʎ ə m b 'o ɾ ð ə s	ʎ ə m b 'o ɾ ð ə s
lepra	l 'e p ɾ ə	l 'ə p ɾ ə
lamento	l ə m 'e n t o	l ə m 'e n t o
kafkiana	k ə f k i 'a n ə	k ə f i i 'a n ə
jueva	ʒ u 'e v ə	ʒ u 'ə v ə
jamaicans	ʒ ə m ə j k 'a n s	ʒ ə m ə i k 'a n s
intèrpret	i n t 'e ɾ p ɾ ə t	i n t ə ɾ p ɾ 'ə t
interrompre	i n t ə r 'o m p ɾ ə	i n t ə r 'o m p ɾ ə
interrogant-los	i n t ə r o ɣ 'a n l o s	i n t ə r o ɣ 'a n i l o s
interpretant-la	i n t ə ɾ p ɾ ə t 'a n l ə	i n t ə ɾ p ɾ ə t 'a n t  l ə
ingresses	i ŋ g ɾ 'e s ə s	i ŋ g ɾ 'ə s ə s
impermeables	i m p ə ɾ m e 'a b b l ə s	i m p ə ɾ ə e 'a b b l ə s
ignoren	i n n 'o ɾ ə n	i n n 'o ɾ ə n
idoni	i ð 'o n i	i ð 'o n i
ideat	i ð e 'a t	i ð ə 'a t
híbrid	'i β ɾ i t	ə β ɾ i t
horts	'o ɾ s	ə ɾ s
hora	'o ɾ ə	ə ɾ ə
harmonioses	ə ɾ m o n i 'o z ə s	ə ɾ m o n i 'o s ə s
haguessis	ə ɣ 'e s i s	ə ɣ 'ə s i s
habituats	ə β i t u 'a t s	ə β i t u 'a s
gènere	ʒ 'e n ə ɾ ə	ʒ 'ə n ə ɾ ə
guinda	g 'i n d ə	g w 'i n d ə
guetos	g 'e t o s	g 'ə t o s
guard	g w 'a ɾ t	g w 'a ɾ ə
guanyant-me	g w ə ɲ 'a m m ə	g w ə ɲ 'a n m m ə
guacamais	g w ə k ə m 'a j s	g w ə k ə m 'a i s
greixos	g ɾ 'e ʃ o s	g ɾ 'e ʃ o s
golfo	g 'o l f o	g 'o l f o
glòbuls	g l 'o β u l s	g l o β 'u l s
generen	ʒ ə n 'e ɾ ə n	ʒ ə n 'e ɾ ə n
gemecs	ʒ ə m 'e t s	ʒ ə m 'ə t s
gemec	ʒ ə m 'e k	ʒ ə m 'e k
frens	f ɾ 'ə n s	f ɾ 'e n s
fots	f 'o t s	f 'o t s
fotre-li	f 'o t ɾ ə l i	f o t ɾ 'e l i
fot	f 'o t	f 'o t
foques	f 'o k ə s	f 'o k ə s
florint-se	f l o ɾ 'i n s ə	f l o ɾ 'i n t s ə
fletxes	f l 'e tʃ ə s	f l 'ə tʃ ə s
fletxa	f l 'e tʃ ə	f l 'ə tʃ ə
fetus	f 'e t u s	f 'ə t u s
fer-hi	f 'e ɾ i	f 'e ɾ i
fent-se	f 'e n s ə	f 'e n s ə
fent-lo	f 'e n l o	f 'e n t  l o
fen	f 'e n	f 'ə n
feixos	f 'e ʃ o s	f 'ə ʃ o s
evolucioni	ə v o l u s i 'o n i	ə v o l u s i 'o n i
estómac	ə s t 'o m ə k	ə s t o m 'a k
estudiïn	ə s t u ð 'i i n	ə s t u ð i 'i n
estris	'e s t ɾ i s	'ə s t ɾ i s
estrenyent-me	ə s t ɾ ə ɲ 'e m m ə	ə s t ɾ ə ɲ 'ə n m m ə
estimant-la	ə s t i m 'a n l ə	ə s t i m 'a n t l ə
esment	ə z m 'e n t	e z m 'e n t
esgrogueint-se	ə z ɣ ɾ o ɣ ə 'i n s ə	ə z ɣ ɾ o ɣ u z 'i n t s ə
esglai	ə z ɣ l 'a j	ə z ə l 'a i
esgarrifoses	ə z ɣ ə r i f 'o z ə s	ə z ɣ ə r i f 'o s ə s
escrivint-te	ə s k ɾ i v 'i n t ə	ə s k ɾ i v 'i n t t ə
escombra	ə s k 'o m b ɾ ə	ə s k 'o m b ɾ ə
escolto	ə s k 'o l t o	ə s k 'o l t o
escoltes	ə s k 'o l t ə s	ə s k 'o l t ə s
esclafant-les	ə s k l ə f 'a n l ə s	ə s k l ə f 'a n t  l ə s
escaigui	ə s k 'a j ɣ i	ə s k 'a i ɣ i
ensenyi	ə n s 'e ɲ i	ə n s 'ə ɲ i
endreço	ə n d ɾ 'e s o	ə n d ɾ 'ə s o
encabeixi	ə ŋ k ə β 'e ʃ i	ə ŋ k ə β 'ə ʃ i
empentes	ə m p 'ə n t ə s	ə m p 'e n t ə s
empenta	ə m p 'ə n t ə	ə m p 'e n t ə
emborratxant-me	ə m b o r ə tʃ 'a m m ə	ə m b o r ə tʃ 'a n m m ə
embolicant-se	ə m b o l i k 'a n s ə	ə m b o l i k 'a n t s ə
elèctrica	ə l 'ə t t ɾ i k ə	ə l ə t t ɾ 'i k ə
dòlar	d 'o l ə	d o l 'a
dèficits	d 'e f i s i t s	d ə f i s 'i t s
donant-nos	d o n 'a n n o s	d o n 'a n n n o s
donant-los	d o n 'a n l o s	d o n 'a n i l o s
donant-li	d o n 'a n l i	d o n 'a n i l i
dodecàedres	d o ð ə k 'a ə ð ɾ ə s	d o ð ə t s ə ð ɾ ə s
divuitè	d i v u j t 'ə	d i v u i t 'ə
divuitena	d i v u j t 'ə n ə	d i v u i t 'ə n ə
distribuïts	d i s t ɾ i β u 'i t s	d i s t ɾ i β u 'i s
distreuen	d i s t ɾ 'ə w ə n	d i s t ɾ 'e w ə n
distingint	d i s t i n ʒ 'i n t	d i s t i ŋ g 'i n t
disposo	d i s p 'o z o	d i s p 'o z o
disminuïts	d i z m i n u 'i t s	d i z m i n u 'i s
discrepo	d i s k ɾ 'e p o	d i s k ɾ 'ə p o
discjòqueis	d i s k ʒ 'o k ə j s	d i s k ʒ o k 'ə j s
digueren	d i ɣ 'e ɾ ə n	d i ɣ 'e ɾ ə n
dient-se	d i 'e n s ə	d i 'e n s ə
dibuixant-me	d i β u ʃ 'a m m ə	d i β u ʃ 'a n m m ə
destorben	d ə s t 'o ɾ β ə n	d ə s t 'o ɾ β ə n
desplegant-se	d ə s p l ə ɣ 'a n s ə	d ə s p l ə ɣ 'a n t s ə
desordres	d ə z 'o ɾ ð ɾ ə s	d ə z 'o ɾ ð ɾ ə s
desordre	d ə z 'o ɾ ð ɾ ə	d ə z 'o ɾ ð ɾ ə
deslluïts	d ə z ʎ u 'i t s	d ə z ʎ u 'i s
desitgem	d ə z i dʒ 'ə m	d ə z i tʃ 'ə m
desigs	d ə z 'i tʃ s	d ə z 'i n s
designar	d ə z i n n 'a	d ə z i ə n 'a
desemboca	d ə z ə m b 'o k ə	d ə z ə m b 'o k ə
deltaic	d ə l t 'a j k	d ə l t 'a i k
delinqüents	d ə l i ŋ k w 'e n s	d ə l i n ə w 'e n s
deixes	d 'e ʃ ə s	d 'ə ʃ ə s
decibels	d ə s i β 'e l s	d ə s i β 'ə l s
cònjuge	k 'o n ʒ u ʒ ə	k o n ʒ 'u ʒ ə
còmplices	k 'o m p l i s ə s	k o m p l 'i s ə s
cuinera	k u j n 'e ɾ ə	k u i n 'e ɾ ə
cuinar	k u j n 'a	k u i n 'a
cuidava	k u j ð 'a v ə	k u i ð 'a v ə
cuidant	k u j ð 'a n t	k u i ð 'a n t
cromos	k ɾ 'o m o s	k ɾ 'o m o s
creïn	k ɾ 'e i n	k ɾ ə 'i n
crepitegen	k ɾ ə p i t 'e ʒ ə n	k ɾ ə p i t 'ə ʒ ə n
cremes	k ɾ 'e m ə s	k ɾ 'ə m ə s
cremen	k ɾ 'e m ə n	k ɾ 'ə m ə n
crema	k ɾ 'e m ə	k ɾ 'ə m ə
cosa	k 'o z ə	k 'o z ə
contenen	k o n t 'e n ə n	k o n t 'ə n ə n
contemplant-li	k o n t ə m p l 'a n l i	k o n t ə m p l ə n 'o l i
construïts	k o n s t ɾ u 'i t s	k o n s t ɾ u 'i s
consta	k 'o n s t ə	k 'o n s t ə
considero	k o n s i ð 'e ɾ o	k o n s i ð 'e ɾ o
conseqüents	k o n s ə k w 'e n s	k o n s ə ə w 'e n s
conseqüent	k o n s ə k w 'e n t	k o n s ə ə w 'e n t
conques	k 'o ŋ k ə s	k 'o ŋ k ə s
connecta	k o n n 'e t t ə	k o n n 'e t t ə
comtats	k o n t 'a t s	k o ə t 'a t s
completa-la	k o m p l 'ə t ə l ə	k o m p l ə t 'a l ə
complauen	k o m p l 'a w ə n	k o m p l 'a ə n
comparsero	k o m p ə ɾ s 'e ɾ o	k o m p ə ɾ s 'e ɾ o
comences	k o m 'e n s ə s	k o m 'ə n s ə s
colpeja	k o l p 'e ʒ ə	k o l p 'ə ʒ ə
coloraines	k o l o ɾ 'a j n ə s	k o l o ɾ 'a i n ə s
coixa	k 'o ʃ ə	k 'o ʃ ə
cofoi	k o f 'o j	k o f 'o i
coco	k 'o k o	k 'o k o
clavant-li	k l ə v 'a n l i	k l ə v ə n 'e l i
centígrads	s ə n t 'i ɣ ɾ ə t s	s ə n t i ɣ ɾ 'a t s
celebren	s ə l 'e β ɾ ə n	s ə l 'ə β ɾ ə n
cec	s 'e k	s 'e k
casés	k ə z 'e s	k ə s 'e s
castigant-se	k ə s t i ɣ 'a n s ə	k ə s t i ɣ 'a n t s ə
cars	k 'a s	k 'a ɾ s
carboni	k ə ɾ β 'o n i	k ə ɾ β 'o n i
carai	k ə ɾ 'a j	k ə ɾ 'a i
caracteritzant-lo	k ə ɾ ə t t ə ɾ i d z 'a n l o	k ə ɾ ə t t ə ɾ i d z 'a n i l o
capmàs	k ə m m 'a s	k ə p m 'a s
capbussar	k ə b b u s 'a	k ə p β u s 'a
bàdminton	b 'a m m i n t o n	b ə m m i n t 'o n
buidor	b u j ð 'o	b u i ð 'o
brots	b ɾ 'o t s	b ɾ 'o t s
bot	b 'o t	b 'o t
borden	b 'o ɾ ð ə n	b 'o ɾ ð ə n
bolquen	b 'o l k ə n	b 'o l k ə n
boirina	b o j ɾ 'i n ə	b o i ɾ 'i n ə
bodegues	b o ð 'ə ɣ ə s	b o ð 'e ɣ ə s
beuen	b 'ə w ə n	b 'e w ə n
bes	b 'e s	b 'ə s
beneficiosa	b ə n ə f i s i 'o z ə	b ə n ə f i s i 'o s ə
beatífic	b e ə t 'i f i k	b ə ə t 'i f i k
beata	b e 'a t ə	ə e 'a t ə
basés	b ə z 'e s	b ə s 'e s
barbs	b 'a ɾ t s	b 'a ɾ i s
atribuir-ho	ə t ɾ i β u 'i ɾ o	ə t ɾ i β u i ɾ 'o
assignar	ə s i n n 'a	ə s i ə n 'a
assaigs	ə s 'a tʃ s	ə s ə 'i ə s
assaborint-ne	ə s ə β o ɾ 'i n n ə	ə s ə β o ɾ 'i n n n ə
asimètrica	ə s i m 'e t ɾ i k ə	ə z i m 'e t ɾ i k ə
arrossegant-se	ə r o s ə ɣ 'a n s ə	ə r o s ə ɣ 'a n t s ə
arregla	ə r 'e g g l ə	ə r 'ə g g l ə
aproven	ə p ɾ 'o v ə n	ə p ɾ 'o v ə n
apartant-lo	ə p ə ɾ t 'a n l o	ə p ə ɾ t 'a n i l o
aparegueren	ə p ə ɾ ə ɣ 'e ɾ ə n	ə p ə ɾ ə ɣ 'e ɾ ə n
anorèxica	ə n o ɾ 'e t s i k ə	ə n o ɾ 'ə t s i k ə
anorèxia	ə n o ɾ 'e t s i ə	ə n o ɾ 'ə t s i ə
anhelant-la	ə n ə l 'a n l ə	ə n ə l 'a n t  l ə
angoixa	ə ŋ g 'o ʃ ə	ə ŋ g o 'i ʃ ə
amagant-li	ə m ə ɣ 'a n l i	ə m ə ɣ 'a n i l i
alts	'a l s	'a l t s
alteren	ə l t 'e ɾ ə n	ə l t 'e ɾ ə n
alinear	ə l i n e 'a	ə l i n ə 'a
algebraic	ə l ʒ ə β ɾ 'a j k	ə l ʒ ə β ɾ 'a i k
alegre	ə l 'e ɣ ɾ ə	ə l 'ə ɣ ɾ ə
ajudant-la	ə ʒ u ð 'a n l ə	ə ʒ u ð 'a n i l ə
aixeco	ə ʃ 'e k o	ə ʃ 'e k o
aixeca	ə ʃ 'e k ə	ə ʃ 'e k ə
agraïts	ə ɣ ɾ ə 'i t s	ə ɣ ɾ ə 'i s
afruitat	ə f ɾ u j t 'a t	ə f ɾ u i t 'a t
adscrit	ə s k ɾ 'i t	ə t s k ɾ 'i t
adornen	ə ð 'o ɾ n ə n	ə ð 'o ɾ n ə n
adequa	ə ð 'e k w ə	ə ð 'e k w ə
aconseguint	ə k o n s ə ɣ 'i n t	ə k o n s ə ɣ u 'i n t
acceptant-la	ə t s ə t t 'a n l ə	ə t s ə t t 'a n t  l ə
a	'ə	ə
Zürich	z u ɾ 'i k	ə w ɾ 'i k ə
Xop	ʃ 'o p	ʃ 'o p
Weissmann	b ə j s m 'a n n	b ə i s m 'a n n
Webs	b 'e t s	b 'ə t s
Vicent	v i s 'e n t	v i s 'e n t
Venus	v 'e n u s	v 'ə n u s
Ve	v 'e	v 'ə
Unesco	u n 'e s k o	u n 'ə s k o
Ulldemol	u ʎ d ə m 'o l	u ʎ ð ə m 'o l
Transports	t ɾ ə n s p 'o ɾ s	t ɾ ə n s p 'o ɾ s
Torno	t 'o ɾ n o	t 'o ɾ n o
Tema	t 'e m ə	t 'ə m ə
Te	t 'ə	t ə
Taipei	t ə j p 'ə j	t ə i p 'ə j
Tailàndia	t ə j l 'a n d i ə	t ə i l 'a n d i ə
Suècia	s u 'e s i ə	s u t s i ə
Sobre	s 'o β ɾ ə	s 'o β ɾ ə
Sistemes	s i s t 'e m ə s	s i s t 'ə m ə s
Sistema	s i s t 'e m ə	s i s t 'ə m ə
Realisme	r e ə l 'i z m ə	r ə ə l 'i z m ə
Quedo	k 'e ð o	k 'ə ð o
Pingu	p 'i ŋ g u	p 'i ŋ g w
Pakistan	p ə k i s t 'a n	p ə z i s t 'a n
Pablo	p 'a β l o	p 'a b b l o
Ordre	'o ɾ ð ɾ ə	'o ɾ ð ɾ ə
Omple	'o m p l ə	'o m p l ə
Nois	n 'o j s	n 'o i s
Mètode	m 'e t o ð ə	m 'ə t o ð ə
Munich	m u n 'i k	m u n 'i k ə
Mossos	m 'o s o s	m 'o s o s
Mossegant-se	m o s ə ɣ 'a n s ə	m o s ə ɣ 'a n t s ə
Montseny	m o n s 'ə ɲ	m o n t s 'ə ɲ
Molta	m 'o l t ə	m 'o l t ə
Menja	m 'e n ʒ ə	m 'ə n ʒ ə
Martens	m ə ɾ t 'ə n s	m ə ɾ t 'e n s
Malone	m ə l 'o n ə	m ə l 'o n ə
Légolas	l 'e ɣ o l ə s	l ə ɣ o l 'a s
Lèxic	l 'e t s i k	l 'ə t s i k
Lo	l 'o	l o
Lluch	ʎ 'u k	ʎ 'u k ə
Llevo	ʎ 'e v o	ʎ 'ə v o
Leandre	l e 'a n d ɾ ə	ə e 'a n d ɾ ə
Kirsten	k 'i ɾ s t ə n	k 'i s t ə n
Jofre	ʒ 'o f ɾ ə	ʒ 'o f ɾ ə
Jeroni	ʒ ə ɾ 'o n i	ʒ ə ɾ 'o n i
Ignoro	i n n 'o ɾ o	i n n 'o ɾ o
Hug	'u k	'a k
Horta	'o ɾ t ə	ə ɾ t ə
Haig	'a tʃ	a 'i ə
Günther	g w n t 'e	g u n ə 'e
Gènere	ʒ 'e n ə ɾ ə	ʒ 'ə n ə ɾ ə
Guies	g 'i ə s	g w 'i ə s
Floraina	f l o ɾ 'a j n ə	f l o ɾ 'a i n ə
Fent-ho	f 'e n t o	f ə n t 'o
Esports	ə s p 'o ɾ s	ə s p 'o ɾ s
Entren	'e n t ɾ ə n	'ə n t ɾ ə n
Elisenda	ə l i z 'e n d ə	ə l i s 'e n d ə
Eindhoven	ə j n d 'o v ə n	ə j n d 'o v ə n
Ebre	'e β ɾ ə	'ə β ɾ ə
Ebre	'e β ɾ ə	'ə β ɾ ə
EAJA	e 'a ʒ ə	ə 'a ʒ ə
Distingir	d i s t i n ʒ 'i	d i s t i ŋ g 'i
Detroit	d ə t ɾ 'o j t	d ə t ɾ o 'i t
Darrere	d ə r 'e ɾ ə	d ə r 'e ɾ ə
Creui	k ɾ 'e w i	k ɾ 'e i
Creador	k ɾ e ə ð 'o	k ɾ ə ə ð 'o
Copia-la	k o p 'i ə l ə	k o p i 'a l ə
Copa	k 'o p ə	k 'o p ə
Consta	k 'o n s t ə	k 'o n s t ə
Connecta	k o n n 'e t t ə	k o n n 'e t t ə
Comparseros	k o m p ə ɾ s 'e ɾ o s	k o m p ə ɾ s 'e ɾ o s
Comences	k o m 'e n s ə s	k o m 'ə n s ə s
Chirac	tʃ i ɾ 'a k	k i ɾ 'a k
Caterina	k ə t ə ɾ 'i n ə	 k e t ə ɾ 'i n ə
Carreras	k ə r 'e ɾ ə s	k ə r 'e ɾ ə s
Carnero	k ə ɾ n 'e ɾ o	k ə ɾ n 'e ɾ o
Bohigas	b o 'i ɣ ə s	b o 'a ɣ ə s
Bodes	b 'o ð ə s	b 'o ð ə s
Bangkok	b ə ŋ k k 'o k	b ə ŋ g k 'o k
Aixeca	ə ʃ 'e k ə	ə ʃ 'e k ə
Ai	'a j	'a i
el	'ə l	ə l
amb	'ə m	 e m b
oi	'o j	'o i
o	'o	'o
es	'ə s	ə s
el	'ə l	ə l
a	'ə	ə
Totes	t 'o t ə s	t 'o t ə s
Si	s 'i	s i
Li	l 'i	l i
I	'i	i
Ho	'o	o
He	'e	'a
Et	'ə t	ə t
que	k 'ə	k ə
hi	'i	i
guerra	g 'e r ə	g w 'e r ə
com	k 'o m	k 'o m
Si	s 'i	s i
Queda	k 'e ð ə	k 'ə ð ə
I	'i	i
He	'e	'a
Com	k 'o m	k 'o m
Amb	'ə m	 e m b
xilens	ʃ i l 'ə n s	ʃ i l 'e n s
venda	v 'ə n d ə	v 'e n d ə
ultimàtum	u l t i m 'a t u m	u l t i m ə t 'u m
túnels	t 'u n ə l s	t u n 'e l s
tropes	t ɾ 'o p ə s	t ɾ 'o p ə s
treva	t ɾ 'e v ə	t ɾ 'ə v ə
torben	t 'o ɾ β ə n	t 'o ɾ β ə n
terrissaires	t ə r i s 'a j ɾ ə s	t ə r i s 'a i ɾ ə s
temple	t 'e m p l ə	t 'ə m p l ə
símbols	s 'i m b o l s	s i m b 'o l s
sys	s 'i s	s s
suspens	s u s p 'ə n s	s u s p 'e n s
surrealisme	s u r e ə l 'i z m ə	s u r ə ə l 'i z m ə
sexi	s 'e t s i	s 'ə t s i
segles	s 'e g g l ə s	s 'e ɣ l ə s
ruixats	r u ʃ 'a t s	r i ʃ 'a t s
rossa	r 'o s ə	r 'o s ə
repugnant	r ə p u n n 'a n t	r ə p u ə n 'a n t
removent-se	r ə m o v 'e n s ə	r ə m o v 'e n s ə
rebérem	r ə β 'e ɾ ə m	r ə β ə ɾ 'ə m
qüestionen	k w ə s t i 'o n ə n	k w ə s t i 'o n ə n
pàrquings	p 'a ɾ k i ŋ s	p 'a ɾ k i n s
provoquen	p ɾ o v 'o k ə n	p ɾ o v 'o k ə n
proveïts	p ɾ o v ə 'i t s	p ɾ o v ə 'i s
promocioni	p ɾ o m o s i 'o n i	p ɾ o m o s i 'o n i
promig	p ɾ o m 'i tʃ	p ɾ o m 'i k
promig	p ɾ o m 'i tʃ	p ɾ o m 'i k
progressos	p ɾ o ɣ ɾ 'e s o s	p ɾ o ɣ ɾ 'ə s o s
procreat	p ɾ o k ɾ e 'a t	p ɾ o k ɾ ə 'a t
pretenen	p ɾ ə t 'e n ə n	p ɾ ə t 'ə n ə n
preat	p ɾ e 'a t	p ɾ ə 'a t
polze	p 'o l z ə	p 'o l z ə
pircings	p i ɾ s 'i ŋ s	p i ɾ s 'i n ə s
picant-li	p i k 'a n l i	p i k 'a n t  l i
pertinences	p ə ɾ t i n 'e n s ə s	p ə ɾ t i n 'ə n s ə s
peatons	p e ə t 'o n s	p ə ə t 'o n s
peatge	p e 'a dʒ ə	p ə 'a dʒ ə
omplen	'o m p l ə n	'o m p l ə n
ofèn	o f 'ə n	o f 'e n
obligant-la	o β l i ɣ 'a n l ə	o β l i ɣ 'a n i l ə
numero	n u m 'e ɾ o	n u m 'e ɾ o
nervioses	n ə ɾ v i 'o z ə s	n ə ɾ v i 'o s ə s
movent-se	m o v 'e n s ə	m o v 'e n s ə
motos	m 'o t o s	m 'o t o s
mirant-ne	m i ɾ 'a n n ə	m i ɾ 'a n n n ə
minuciosa	m i n u s i 'o z ə	m i n u s i 'o s ə
melangia	m ə l ə n ʒ 'i ə	m ə l ə ŋ g 'i ə
malestars	m ə l ə s t 'a s	m ə l ə s t 'a ɾ s
maleint-me	m ə l ə 'i m m ə	m ə l 'ə j n t m ə
lluitaven	ʎ u j t 'a v ə n	ʎ u i t 'a v ə n
lletja	ʎ 'e dʒ ə	ʎ 'ə dʒ ə
llestos	ʎ 'e s t o s	ʎ 'ə s t o s
llebre	ʎ 'e β ɾ ə	ʎ 'ə β ɾ ə
kosovars	k o z o v 'a s	k o z o v 'a ɾ s
jazz	ʒ 'a s	ʒ 'a z ə
irreals	i r e 'a l s	i r ə 'a l s
interpreto	i n t ə ɾ p ɾ 'e t o	i n t ə ɾ p ɾ 'ə t o
inspeccionant-la	i n s p ə t s i o n 'a n l ə	i n s p ə t s i o n 'a n i l ə
ingressos	i ŋ g ɾ 'e s o s	i ŋ g ɾ 'ə s o s
incrèdul	i ŋ k ɾ 'e ð u l	i ŋ k ɾ 'ə ð u l
incloent-hi	i ŋ k l o 'e n t i	i ŋ k l o 'e n t i
ignoro	i n n 'o ɾ o	i n n 'o ɾ o
idealitzen	i ð e ə l 'i d z ə n	i ð ə ə l 'i d z ə n
heroi	ə ɾ 'o j	ə ɾ 'o i
guèiser	g 'ə j z ə	g 'ə i z ə
guerxos	g 'e ɾ ʃ o s	g w 'e ɾ ʃ o s
guerres	g 'e r ə s	g w 'e r ə s
guerra	g 'e r ə	g w 'e r ə
glops	g l 'o t s	g l 'o t s
ginebra	ʒ i n 'e β ɾ ə	ʒ i n 'ə β ɾ ə
